sequence,server_id,client_id,ground_speed
220,4337,473,100
221,4338,474,100
222,4405,4394,100
223,4406,4395,100
224,4407,4396,100
225,4408,4397,100
226,4409,4398,100
227,4410,4399,100
228,4411,4400,100
229,4412,4401,100
230,4413,4402,100
231,4414,4403,100
232,4415,4404,100
233,4416,4405,100
234,4417,4406,100
235,4418,4407,100
236,4419,4408,100
237,4420,4409,100
238,4421,4410,100
239,4526,4515,100
240,4527,4516,100
241,4528,4517,100
242,4529,4518,100
243,4530,4519,100
244,4531,4520,100
245,4532,4521,100
246,4533,4522,100
247,4534,4523,100
248,4535,4524,100
249,4536,4525,100
250,4537,4526,100
251,4538,4527,100
252,4539,4528,100
253,4540,4529,100
254,4541,4530,100
255,4608,4597,100
256,4609,4598,100
257,4610,4599,100
258,4611,4600,100
259,4612,4601,100
260,4613,4602,100
261,4614,4609,100
262,4615,4610,100
263,4616,4611,100
264,4617,4612,100
265,4618,4613,100
266,4619,4614,100
267,4620,629,100
268,4621,630,100
269,4622,631,100
270,4623,632,100
271,4624,633,100
272,4625,634,100
273,4632,4621,100
274,4633,4622,100
275,4634,4623,100
276,4635,4624,100
277,4636,4625,100
278,4637,4626,100
279,4638,4627,100
280,4639,4628,100
281,4640,4629,100
282,4641,4630,100
283,4642,4631,100
284,4643,4632,100
285,4664,4653,100
286,4665,4654,100
287,4666,4655,100
288,4687,4676,100
289,4688,4677,100
290,4689,4678,100
291,4690,4679,100
292,4691,4680,100
293,4692,4681,100
294,4693,4682,100
295,4694,4683,100
296,4695,4684,100
297,4696,4685,100
298,4697,4686,100
299,4698,4687,100
300,4699,4688,100
301,4700,4689,100
302,4701,4690,100
303,4702,4691,100
304,4703,4692,100
305,4704,4693,100
306,4705,4694,100
307,4706,4695,100
308,4707,4696,100
309,4708,4697,100
310,4709,4698,100
311,4710,4699,100
312,4711,4700,100
313,4712,4701,100
314,4749,4738,100
315,4750,4739,100
316,4751,4740,100
317,4752,4741,100
318,4753,4742,100
319,4754,4743,100
320,4755,4744,100
321,4820,4809,100
322,4821,4810,100
323,4822,4811,100
324,4823,4812,100
325,4824,4813,100
326,4825,4814,100
327,4832,4821,100
328,4833,4822,100
329,4834,4823,100
330,4835,859,100
331,4836,4825,100
332,4837,4826,100
333,4954,4953,100
334,4955,4954,100
335,4956,4955,100
336,4957,4956,100
337,4958,4957,100
338,4959,4958,100
339,4960,4959,100
340,4961,4960,100
341,4972,4971,100
342,5174,5173,100
343,5177,5176,100
344,5186,5185,100
345,5189,5188,100
346,5199,5198,100
347,5200,5199,100
348,5210,5209,100
349,5213,5212,100
350,5223,5222,100
351,5224,5223,100
352,5234,5233,100
353,5237,5236,100
354,5247,5246,100
355,5248,5247,100
356,5406,5405,100
357,5407,5406,100
358,5408,5407,100
359,5409,5408,100
360,5410,5409,100
361,5545,5544,100
362,5691,5691,100
363,5711,5711,100
364,5712,5712,100
365,5713,5713,100
366,5714,5714,100
367,5715,5715,100
368,5716,5716,100
369,5717,5717,100
370,5718,5718,100
371,5719,5719,100
372,5720,5720,100
373,5721,5721,100
374,5722,5722,100
375,5723,5723,100
376,5724,5724,100
377,5725,5725,100
378,5726,5726,100
379,5731,5731,100
380,5743,5743,100
381,5744,5744,100
382,5755,5755,100
383,5756,5756,100
384,5757,5757,100
385,5758,5758,100
386,5759,5759,100
387,5760,5760,100
388,5761,5761,100
389,5763,5763,100
390,5764,5764,100
391,5768,5768,100
392,5769,5769,100
393,5770,5770,100
394,5814,5814,100
395,5815,5815,100
396,6127,6127,100
397,6128,6128,100
398,6129,6129,100
399,6130,6130,100
400,6172,6171,100
401,6173,6172,100
402,6174,6173,100
403,6210,6209,100
404,6213,6212,100
405,6353,6352,100
406,6389,6388,100
407,6580,6580,100
408,6581,6581,100
409,6582,6582,100
410,6583,6583,100
411,6584,6584,100
412,6585,6585,100
413,6586,6586,100
414,6587,6587,100
415,6588,6588,100
416,6589,6589,100
417,6590,6590,100
418,6591,6591,100
419,6592,6592,100
420,6593,6593,100
421,6594,6594,100
422,6595,6595,100
423,6596,6596,100
424,6597,6597,100
425,6598,6598,100
426,6599,6599,100
427,6600,6600,100
428,6601,6601,100
429,6602,6602,100
430,6603,6603,100
431,6604,6604,100
432,6605,6605,100
433,6606,6606,100
434,6607,6607,100
435,6608,6608,100
436,6612,6612,100
437,6613,6613,100
438,6614,6614,100
439,6615,6615,100
440,6616,6616,100
441,6617,6617,100
442,6618,6618,100
443,6619,6619,100
444,6620,6620,100
445,6621,6621,100
446,6622,6622,100
447,6623,6623,100
448,6624,6624,100
449,6625,6625,100
450,6626,6626,100
451,6683,6683,100
452,6684,6684,100
453,6685,6685,100
454,6686,6686,100
455,6804,6804,100
456,6805,6805,100
457,6806,6806,100
458,6807,6807,100
459,6808,6808,100
460,6809,6809,100
461,6838,6838,100
462,6869,6869,100
463,6917,6917,100
464,6918,6918,100
465,6919,6919,100
466,6920,6920,100
467,6921,6921,100
468,6922,6922,100
469,6923,6923,100
470,6924,6924,100
471,6925,6925,100
472,6967,6967,100
473,7053,7053,100
474,7062,7062,100
475,7063,7063,100
476,7064,7064,100
477,7065,7065,100
478,7066,7066,100
479,7187,7187,100
480,7188,7188,100
481,7190,7190,100
482,7191,7191,100
483,7192,7192,100
484,7193,7193,100
485,7194,7194,100
486,7195,7195,100
487,7196,7196,100
488,7197,7197,100
489,7198,7198,100
490,7199,7199,100
491,7200,7200,100
492,7236,7236,100
493,7237,7237,100
494,7272,7272,100
495,7348,7348,100
496,7350,7350,100
497,7351,7351,100
498,7352,7352,100
499,7353,7353,100
500,7354,7354,100
501,7355,7355,100
502,7356,7356,100
503,7357,7357,100
504,7358,7358,100
505,7577,222,100
506,7578,223,100
507,7943,880,100
508,7944,881,100
509,7945,882,100
510,7946,883,100
511,7947,884,100
512,7948,885,100
513,7949,886,100
514,7950,887,100
515,7951,888,100
516,7952,889,100
517,7953,890,100
518,7954,891,100
519,7975,1010,100
520,7976,1011,100
521,8048,1724,100
522,8049,1725,100
523,8050,1726,100
524,8051,1727,100
525,8052,1728,100
526,8133,4427,100
527,8170,4824,100
528,8275,100,100
529,8276,369,100
530,8277,370,100
531,8279,411,100
532,8280,7767,100
533,8281,413,100
534,8282,414,100
535,8283,428,100
536,8284,432,100
537,8285,433,100
538,8286,7768,100
539,8287,905,100
540,8315,959,100
541,8316,960,100
542,8317,961,100
543,8318,962,100
544,8319,963,100
545,8320,964,100
546,8321,965,100
547,8322,966,100
548,8323,967,100
549,8326,970,100
550,8327,971,100
551,8328,972,100
552,8329,973,100
553,8330,974,100
554,8331,975,100
555,8332,976,100
556,8333,977,100
557,8334,978,100
558,8347,992,100
559,8348,993,100
560,8362,1007,100
561,8363,1008,100
562,8364,1009,100
563,8423,7593,100
564,8424,7594,100
565,8425,7595,100
566,8426,7596,100
567,8427,7597,100
568,8428,7598,100
569,8429,7599,100
570,8430,7600,100
571,8431,7601,100
572,8432,7602,100
573,8433,7603,100
574,8434,7604,100
575,8559,7729,100
576,8560,7730,100
577,8561,7731,100
578,8562,7732,100
579,8563,7733,100
580,8564,7734,100
581,8565,7735,100
582,8566,7736,100
583,8567,7737,100
584,8568,7738,100
585,8569,7739,100
586,8570,7740,100
587,8577,7747,100
588,8578,7748,100
589,8586,7756,100
590,8590,7760,100
591,8591,7761,100
592,8592,7762,100
593,8594,7764,100
594,8595,7767,100
595,8596,7768,100
596,8597,7769,100
597,8598,7770,100
598,8695,7867,100
599,8708,7880,100
600,8714,7886,100
601,8913,8085,100
602,8914,8086,100
603,8915,8087,100
604,8916,8088,100
605,8917,8089,100
606,8959,8131,100
607,9021,351,100
608,9022,352,100
609,9023,353,100
610,9024,354,100
611,9025,355,100
612,9026,101,100
613,9027,5711,100
614,9028,5712,100
615,9029,5713,100
616,9030,5714,100
617,9031,5715,100
618,9032,5716,100
619,9033,5717,100
620,9034,5718,100
621,9035,5719,100
622,9036,5720,100
623,9037,5721,100
624,9038,5722,100
625,9039,5723,100
626,9040,5724,100
627,9041,5725,100
628,9042,5726,100
629,9043,4515,100
630,9044,4516,100
631,9045,4517,100
632,9046,4518,100
633,9047,4519,100
634,9048,4520,100
635,9049,4521,100
636,9050,4522,100
637,9051,4523,100
638,9052,4524,100
639,9053,4525,100
640,9054,4526,100
641,9055,4527,100
642,9056,4528,100
643,9057,4529,100
644,9058,4530,100
645,9059,231,100
646,9067,408,100
647,9068,7062,100
648,9069,7063,100
649,9070,7064,100
650,9071,7065,100
651,9072,7066,100
652,9073,7066,100
653,9144,8228,100
654,9145,8229,100
655,9146,8230,100
656,9192,8276,100
657,9193,8277,100
658,9194,8278,100
659,9195,8279,100
660,9196,8280,100
661,9197,8281,100
662,9198,8282,100
663,9199,8283,100
664,9200,8284,100
665,9201,8285,100
666,9202,8286,100
667,9203,8287,100
668,9204,8288,100
669,9205,8289,100
670,9206,8290,100
671,9224,8308,100
672,9225,8309,100
673,9226,8310,100
674,9227,8311,100
675,9228,8312,100
676,9229,8313,100
677,9230,8314,100
678,9231,8315,100
679,9232,8316,100
680,9535,8619,100
681,9536,8620,100
682,9574,8658,100
683,9606,8690,100
684,9624,8708,100
685,9625,8709,100
686,9632,8716,100
687,9671,8755,100
688,9672,8756,100
689,9673,8757,100
690,9682,8766,100
691,9683,8767,100
692,9684,8768,100
693,9685,8769,100
694,9726,8811,100
695,9759,8844,100
696,9760,8845,100
697,9761,8846,100
698,9762,8847,100
699,9800,8886,100
700,9846,8932,100
701,9883,8969,100
702,10019,5404,100
703,10065,9146,100
704,10164,9246,100
705,10175,9257,100
706,10176,9258,100
707,10208,9290,100
708,10222,9305,100
709,10441,9524,100
710,10442,9525,100
711,10443,9526,100
712,10444,9527,100
713,10445,9528,100
714,10446,9529,100
715,10447,9530,100
716,10448,9531,100
717,10492,9575,100
718,10493,9576,100
719,10494,9577,100
720,10495,9578,100
721,10496,9579,100
722,10497,9580,100
723,10498,9581,100
724,10616,9700,100
725,10617,9701,100
726,10618,9702,100
727,10619,9703,100
728,10620,9704,100
729,10621,9705,100
730,10622,9706,100
731,10623,9707,100
732,10636,9720,100
733,10764,9848,100
734,10765,9849,100
735,10766,9850,100
736,10767,9851,100
737,10768,9852,100
738,10769,9853,100
739,10770,9854,100
740,10771,9855,100
741,10772,9856,100
742,10773,9857,100
743,10845,9929,100
744,10846,9930,100
745,10847,9931,100
746,10848,9932,100
747,10849,9933,100
748,10850,9934,100
749,10851,9935,100
750,10852,9936,100
751,10853,9937,100
752,10854,9938,100
753,10855,9939,100
754,10883,9967,100
755,11008,10093,100
756,11027,10113,100
757,11059,10145,100
758,11060,10146,100
759,11094,10180,100
760,11110,10197,100
761,11139,10228,100
762,11140,10229,100
763,11141,10230,100
764,11142,10231,100
765,11143,10232,100
766,11144,10233,100
767,11145,10234,100
768,11146,10235,100
769,11148,10237,100
770,11149,10238,100
771,11150,10239,100
772,11151,10240,100
773,11152,10241,100
774,11153,10242,100
775,11154,10243,100
776,11605,10728,100
777,11618,10741,100
778,11631,10754,100
779,11644,10767,100
780,11679,10802,100
781,11711,10834,100
782,11712,10835,100
783,11713,10836,100
784,11714,10837,100
785,11715,10838,100
786,11716,10839,100
787,11717,10840,100
788,11718,10841,100
789,11719,10842,100
790,11720,10843,100
791,11721,10844,100
792,11760,10883,100
793,11761,10884,100
794,11762,10885,100
795,11763,10886,100
796,11786,10909,100
797,11787,10910,100
798,11788,10911,100
799,11789,10912,100
800,11812,10935,100
801,11813,10936,100
802,11814,10937,100
803,11815,10938,100
804,11838,10961,100
805,11839,10962,100
806,11840,10963,100
807,11841,10964,100
808,11864,10987,100
809,11867,10990,100
810,11869,10992,100
811,11870,10993,100
812,11872,10995,100
813,11876,10999,100
814,11877,11000,100
815,11878,11001,100
816,11879,11002,100
817,11880,11003,100
818,11882,11005,100
819,11914,11037,100
820,11945,11068,100
821,11947,11070,100
822,11950,11073,100
823,11952,11075,100
824,11953,11076,100
825,11955,11078,100
826,11959,11082,100
827,11977,11100,100
828,11978,11101,100
829,11979,11102,100
830,11980,11103,100
831,11981,11104,100
832,11985,11108,100
833,12028,11151,100
834,12029,11152,100
835,12030,11153,100
836,12031,11154,100
837,12032,11155,100
838,12033,11156,100
839,12034,11157,100
840,12035,11158,100
841,12443,11566,100
842,12741,11864,100
843,12742,11865,100
844,12743,11866,100
845,12744,11867,100
846,12923,12046,100
847,12924,12047,100
848,12925,12048,100
849,12926,12049,100
850,12927,12050,100
851,12928,12051,100
852,12929,12052,100
853,12930,12053,100
854,12931,12054,100
855,12932,12055,100
856,12933,12056,100
857,12934,12057,100
858,12935,12058,100
859,12936,12059,100
860,12937,12060,100
861,12938,12061,100
862,12939,12062,100
863,12940,12063,100
864,12941,12064,100
865,12942,12065,100
866,12943,12066,100
867,12944,12067,100
868,12945,12068,100
869,12946,12069,100
870,12947,12070,100
871,12948,12071,100
872,12949,12072,100
873,13258,12381,100
874,13292,12415,100
875,13293,12416,100
876,13294,12417,100
877,13295,12418,100
878,13348,12471,100
879,13366,12489,100
880,13369,12492,100
881,13371,12494,100
882,13372,12495,100
883,13374,12497,100
884,13378,12501,100
885,13421,12544,100
886,13491,12614,100
887,13492,12615,100
888,13548,12671,100
889,13549,12672,100
890,13587,12710,100
891,13605,12728,100
892,13698,12821,100
893,13713,12836,100
894,13738,12861,100
895,13739,12862,100
896,14211,13334,100
897,14212,13335,100
898,14213,13336,100
899,14214,13337,100
900,14229,13352,100
901,14230,13353,100
902,14231,13354,100
903,14232,13355,100
904,14882,13999,100
905,14919,14034,100
906,14920,14035,100
907,14921,14036,100
908,14922,14037,100
909,14929,14044,100
910,14930,14045,100
911,14931,14046,100
912,15017,14132,100
913,15018,14133,100
914,15019,14134,100
915,15037,14152,100
916,15051,14166,100
917,15060,14175,100
918,15068,14183,100
919,15111,14226,100
920,15114,14229,100
921,15145,14260,100
922,15146,14261,100
923,15147,14262,100
924,15161,14276,100
925,15162,14277,100
926,15175,14290,100
927,15368,14483,100
928,15369,14484,100
929,15370,14485,100
930,15371,14486,100
931,15372,14487,100
932,15373,14488,100
933,15374,14489,100
934,15375,14490,100
935,15376,14491,100
936,15377,14492,100
937,15378,14493,100
938,15379,14494,100
939,15380,14495,100
940,15381,14496,100
941,15382,14497,100
942,15383,14498,100
943,15483,14598,100
944,15484,14599,100
945,15485,14600,100
946,15486,14601,100
947,15487,14602,100
948,15488,14603,100
949,15489,14604,100
950,15490,14605,100
951,15491,14606,100
952,15492,14607,100
953,15493,14608,100
954,15494,14609,100
955,15495,14610,100
956,15543,14658,100
957,15556,14671,100
958,15569,14684,100
959,15570,14685,100
960,15571,14686,100
961,15572,14687,100
962,15573,14688,100
963,15589,14704,100
964,15880,14995,100
965,15881,14996,100
966,15882,14997,100
967,15883,14998,100
968,15884,14999,100
969,15885,15000,100
970,15886,15001,100
971,15887,15002,100
972,15888,15003,100
973,15958,15073,100
974,15971,15086,100
975,16014,15129,100
976,16015,15130,100
977,16055,15170,100
978,16056,15171,100
979,16057,15172,100
980,16092,15207,100
981,16093,15208,100
982,16094,15209,100
983,16134,15249,100
984,16135,15250,100
985,16136,15251,100
986,16174,15289,100
987,16175,15290,100
988,16176,15291,100
989,16245,15360,100
990,16246,15361,100
991,16253,15368,100
992,16458,15573,100
993,16459,15574,100
994,16462,15577,100
995,16463,15578,100
996,16504,15619,100
997,16507,15622,100
998,16509,15624,100
999,16510,15625,100
1000,16512,15627,100
1001,16516,15631,100
1002,16517,15632,100
1003,16520,15635,100
1004,16522,15637,100
1005,16523,15638,100
1006,16525,15640,100
1007,16529,15644,100
1008,16530,15645,100
1009,16533,15648,100
1010,16534,15649,100
1011,16535,15650,100
1012,16536,15651,100
1013,16538,15653,100
1014,16542,15657,100
1015,16619,15734,100
1016,16620,15735,100
1017,16621,15736,100
1018,16622,15737,100
1019,16623,15738,100
1020,16624,15739,100
1021,16625,15740,100
1022,16626,15741,100
1023,16627,15742,100
1024,16628,15743,100
1025,16629,15744,100
1026,16630,15745,100
1027,16631,15746,100
1028,16632,15747,100
1029,16633,15748,100
1030,16634,15749,100
1031,16635,15750,100
1032,16636,15751,100
1033,16637,15752,100
1034,16638,15753,100
1035,16639,15754,100
1036,16640,15755,100
1037,16641,15756,100
1038,16642,15757,100
1039,16643,15758,100
1040,16644,15759,100
1041,16651,15766,100
1042,16652,15767,100
1043,16671,15786,100
1044,16672,15787,100
1045,16673,15788,100
1046,16674,15789,100
1047,16675,15790,100
1048,16712,15827,100
1049,16713,15828,100
1050,16714,15829,100
1051,16715,15830,100
1052,16716,15831,100
1053,16717,15832,100
1054,16718,15833,100
1055,16719,15834,100
1056,16720,15835,100
1057,16733,15848,100
1058,16734,15849,100
1059,16735,15850,100
1060,16736,15851,100
1061,16749,15864,100
1062,16750,15865,100
1063,16751,15866,100
1064,16752,15867,100
1065,16753,15868,100
1066,16754,15869,100
1067,16755,15870,100
1068,16756,15871,100
1069,16781,15896,100
1070,16782,15897,100
1071,16783,15898,100
1072,16784,15899,100
1073,16785,15900,100
1074,16786,15901,100
1075,16787,15902,100
1076,16788,15903,100
1077,16789,15904,100
1078,16790,15905,100
1079,16791,15906,100
1080,16792,15907,100
1081,16793,15908,100
1082,16794,15909,100
1083,16795,15910,100
1084,16796,15911,100
1085,16797,15912,100
1086,16798,15913,100
1087,16799,15914,100
1088,16800,15915,100
1089,16813,15928,100
1090,16814,15929,100
1091,16815,15930,100
1092,16816,15931,100
1093,16817,15932,100
1094,16818,15933,100
1095,16846,15961,100
1096,16847,15962,100
1097,16848,15963,100
1098,16849,15964,100
1099,16850,15965,100
1100,16851,15966,100
1101,16852,15967,100
1102,16853,15968,100
1103,16854,15969,100
1104,16855,15970,100
1105,16857,15972,100
1106,16858,15973,100
1107,16909,16024,100
1108,16934,16049,100
1109,16955,16070,100
1110,16956,16071,100
1111,16957,16072,100
1112,16958,16073,100
1113,16959,16074,100
1114,16960,16075,100
1115,16961,16076,100
1116,16962,16077,100
1117,16963,16078,100
1118,16964,16079,100
1119,16965,16080,100
1120,16966,16081,100
1121,16967,16082,100
1122,16968,16083,100
1123,16969,16084,100
1124,16970,16085,100
1125,17037,16152,100
1126,17336,16451,100
1127,18068,17183,100
1128,18069,17184,100
1129,18070,17185,100
1130,18071,17186,100
1131,18163,17278,100
1132,18180,17295,100
1133,18181,17296,100
1134,18182,17297,100
1135,18235,17350,100
1136,18476,17591,100
1137,18524,17639,100
1138,18671,17786,100
1139,18672,17787,100
1140,18673,17788,100
1141,18674,17789,100
1142,18679,17794,100
1143,18692,17807,100
1144,18707,17822,100
1145,18708,17823,100
1146,18709,17824,100
1147,18710,17825,100
1148,18711,17826,100
1149,18712,17827,100
1150,18713,17828,100
1151,18714,17829,100
1152,18715,17830,100
1153,18716,17831,100
1154,18717,17832,100
1155,18718,17833,100
1156,18824,17939,100
1157,18825,17940,100
1158,18826,17941,100
1159,18827,17942,100
1160,18828,17943,100
1161,18829,17944,100
1162,18830,17945,100
1163,18831,17946,100
1164,18842,17957,100
1165,18920,18035,100
1166,18921,18036,100
1167,18922,18037,100
1168,18923,18038,100
1169,18924,18039,100
1170,18925,18040,100
1171,18926,18041,100
1172,18927,18042,100
1173,18932,18047,100
1174,18933,18048,100
1175,18934,18049,100
1176,18935,18050,100
1177,18936,18051,100
1178,18937,18052,100
1179,18938,18053,100
1180,18939,18054,100
1181,18940,18055,100
1182,18941,18056,100
1183,18978,18093,100
1184,18979,18094,100
1185,18980,18095,100
1186,18981,18096,100
1187,18996,18111,100
1188,18997,18112,100
1189,18998,18113,100
1190,18999,18114,100
1191,19000,18115,100
1192,19001,18116,100
1193,19002,18117,100
1194,19003,18118,100
1195,19004,18119,100
1196,19005,18120,100
1197,19006,18121,100
1198,19007,18122,100
1199,19008,18123,100
1200,19009,18124,100
1201,19010,18125,100
1202,19011,18126,100
1203,19012,18127,100
1204,19013,18128,100
1205,19014,18129,100
1206,19015,18130,100
1207,19016,18131,100
1208,19017,18132,100
1209,19018,18133,100
1210,19073,18188,100
1211,19074,18189,100
1212,19075,18190,100
1213,19076,18191,100
1214,19077,18192,100
1215,19078,18193,100
1216,19079,18194,100
1217,19080,18195,100
1218,19081,18196,100
1219,19082,18197,100
1220,19083,18198,100
1221,19084,18199,100
1222,19215,18330,100
1223,19216,18331,100
1224,19293,18408,100
1225,19295,18410,100
1226,19296,18411,100
1227,19297,18412,100
1228,19298,18413,100
1229,19299,18414,100
1230,19300,18415,100
1231,19301,18416,100
1232,19302,18417,100
1233,19303,18418,100
1234,19304,18419,100
1235,19333,18448,100
1236,19367,18482,100
1237,19368,18483,100
1238,19369,18484,100
1239,19370,18485,100
1240,19371,18486,100
1241,19372,18487,100
1242,19373,18488,100
1243,19374,18489,100
1244,19375,18490,100
1245,19376,18491,100
1246,19377,18492,100
1247,19378,18493,100
1248,19379,18494,100
1249,19380,18495,100
1250,19397,18512,100
1251,19398,18513,100
1252,19399,18514,100
1253,19400,18515,100
1254,19453,18568,100
1255,19463,18578,100
1256,19559,18674,100
1257,19560,18675,100
1258,19561,18676,100
1259,19562,18677,100
1260,19563,18678,100
1261,19564,18679,100
1262,19565,18680,100
1263,19566,18681,100
1264,19567,18682,100
1265,19568,18683,100
1266,19569,18684,100
1267,19570,18685,100
1268,19571,18686,100
1269,19572,18687,100
1270,19589,18704,100
1271,19590,18705,100
1272,19591,18706,100
1273,19592,18707,100
1274,19609,18724,100
1275,19610,18725,100
1276,19611,18726,100
1277,19612,18727,100
1278,19613,18728,100
1279,19614,18729,100
1280,19615,18730,100
1281,19616,18731,100
1282,19617,18732,100
1283,19618,18733,100
1284,19619,18734,100
1285,19620,18735,100
1286,19621,18736,100
1287,19622,18737,100
1288,19639,18754,100
1289,19640,18755,100
1290,19641,18756,100
1291,19642,18757,100
1292,19659,18774,100
1293,19660,18775,100
1294,19661,18776,100
1295,19662,18777,100
1296,19663,18778,100
1297,19664,18779,100
1298,19665,18780,100
1299,19666,18781,100
1300,19667,18782,100
1301,19668,18783,100
1302,19669,18784,100
1303,19670,18785,100
1304,19671,18786,100
1305,19672,18787,100
1306,19689,18804,100
1307,19690,18805,100
1308,19691,18806,100
1309,19692,18807,100
1310,19709,18824,100
1311,19710,18825,100
1312,19711,18826,100
1313,19712,18827,100
1314,19713,18828,100
1315,19714,18829,100
1316,19715,18830,100
1317,19716,18831,100
1318,19717,18832,100
1319,19718,18833,100
1320,19719,18834,100
1321,19720,18835,100
1322,19721,18836,100
1323,19722,18837,100
1324,19739,18854,100
1325,19740,18855,100
1326,19741,18856,100
1327,19742,18857,100
1328,19759,18874,100
1329,19760,18875,100
1330,19761,18876,100
1331,19762,18877,100
1332,19763,18878,100
1333,19764,18879,100
1334,19765,18880,100
1335,19766,18881,100
1336,19767,18882,100
1337,19768,18883,100
1338,19769,18884,100
1339,19770,18885,100
1340,19771,18886,100
1341,19772,18887,100
1342,19789,18904,100
1343,19790,18905,100
1344,19791,18906,100
1345,19792,18907,100
1346,19828,18943,100
1347,19918,19033,100
1348,19919,19034,100
1349,19920,19035,100
1350,19921,19036,100
1351,19922,19037,100
1352,19923,19038,100
1353,19924,19039,100
1354,19925,19040,100
1355,19926,19041,100
1356,19928,19043,100
1357,19929,19044,100
1358,19930,19045,100
1359,19931,19046,100
1360,19932,19047,100
1361,19933,19048,100
1362,19934,19049,100
1363,19935,19050,100
1364,19936,19051,100
1365,19937,19052,100
1366,19939,19054,100
1367,19940,19055,100
1368,19941,19056,100
1369,19942,19057,100
1370,19943,19058,100
1371,19944,19059,100
1372,19945,19060,100
1373,19947,19062,100
1374,19949,19064,100
1375,19950,19065,100
1376,19951,19066,100
1377,19952,19067,100
1378,19953,19068,100
1379,19954,19069,100
1380,19955,19070,100
1381,19956,19071,100
1382,19957,19072,100
1383,19958,19073,100
1384,19959,19074,100
1385,19960,19075,100
1386,19961,19076,100
1387,19962,19077,100
1388,19963,19078,100
1389,19964,19079,100
1390,19965,19080,100
1391,19967,19082,100
1392,19968,19083,100
1393,19969,19084,100
1394,19970,19085,100
