server_id	client_id	map_count	client_mapping_count	empty_dat	name	otb_flags	dat_flags
14624	13745	0	1	0		pickupable|movable|stackable	stackable|pickupable
14625	13746	0	1	0		pickupable|movable|stackable	stackable|pickupable
14626	13747	0	1	0		pickupable|movable|stackable	stackable|pickupable
14627	13748	0	1	0		pickupable|movable|stackable	stackable|pickupable
14628	13749	0	1	0		pickupable|movable|stackable	stackable|pickupable
14629	13750	0	1	0		pickupable|movable|stackable	stackable|pickupable
14630	13751	0	1	0	Icon Cardpack	pickupable|movable|stackable	stackable|pickupable
14631	13752	0	1	0		pickupable|movable|stackable	stackable|pickupable
14632	13753	0	1	0		pickupable|movable|stackable	stackable|pickupable
14633	13754	0	1	0		pickupable|movable|stackable	stackable|pickupable
14634	13755	0	1	0		pickupable|movable|stackable	stackable|pickupable
14635	13756	0	1	0		pickupable|movable|stackable	stackable|pickupable
14636	13757	0	1	0		pickupable|movable|stackable	stackable|pickupable
14637	13758	0	1	0		pickupable|movable|stackable	stackable|pickupable
14638	13759	0	1	0		pickupable|movable|stackable	stackable|pickupable
14639	13760	0	1	0		pickupable|movable|stackable	stackable|pickupable
14640	13761	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14641	13762	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14642	13763	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14643	13764	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14644	13765	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14645	13766	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14646	13767	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14647	13768	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14648	13769	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14649	13770	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14650	13771	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14651	13772	1	1	0	Pilula de Banana	usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14652	13773	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14653	13774	1	1	0	Pilula de Lim�o	usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14654	13775	2	1	0	Kushiyaki de frango	usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14655	13776	1	1	0	Pilula de Kiwi	usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14656	13777	2	1	0	Tempura de legumes	usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14657	13778	1	1	0	Pilula de Menta	usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14658	13779	2	1	0	Katsudon de porco	usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14659	13780	1	1	0	Pilula de Tutti Frutti	usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14660	13781	2	1	0	Noodles de vegetais	usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14661	13782	1	1	0	Pilula de Blueberry	usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14662	13783	2	1	0	Yakimeshi de frango	pickupable|movable|stackable	stackable|pickupable
14663	13784	1	1	0	Pilula de Beringela	usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14664	13785	2	1	0	Soba de legumes	pickupable|movable|stackable	stackable|pickupable
14665	13786	1	1	0	Pilula de Cereja	usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14666	13787	2	1	0	Teriyaki de frango	pickupable|movable|stackable	stackable|pickupable
14667	13788	1	1	0	Pilula de Melancia	usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14668	13789	1	1	0		pickupable|movable|stackable	stackable|pickupable
14669	13790	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14670	13791	1	1	0		pickupable|movable|stackable	stackable|pickupable
14671	13792	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14672	13793	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14673	13794	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14674	13795	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14675	13796	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable|has_light
14676	13797	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14677	13798	0	1	0		pickupable|movable|stackable	stackable|pickupable|has_light
14678	13799	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14679	13800	0	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14680	13801	2	1	0		pickupable|movable|stackable	stackable|pickupable
14681	13802	2	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14682	13803	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14683	13804	4	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14684	13805	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14685	13806	2	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14686	13807	0	1	1		movable	
14687	13808	0	1	1		movable	
14688	13809	3	1	0	�gua	pickupable|movable|stackable	stackable|pickupable
14689	13810	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14690	13811	3	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14691	13812	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14692	13813	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14693	13814	5	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14694	13815	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14695	13816	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14696	13817	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14697	13818	2	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14698	13819	1	1	0	Morango	pickupable|movable|stackable	stackable|pickupable
14699	13820	1	1	0	Laranja	pickupable|movable|stackable	stackable|pickupable
14700	13821	1	1	0	Ma��	pickupable|movable|stackable	stackable|pickupable
14701	13822	1	1	0	Melancia	pickupable|movable|stackable	stackable|pickupable
14702	13823	1	1	0	Uva	pickupable|movable|stackable	stackable|pickupable
14703	13824	1	1	0	Chocolate	pickupable|movable|stackable	stackable|pickupable
14704	13825	1	1	0	Sal	pickupable|movable|stackable	stackable|pickupable
14705	13826	1	1	0	A��car	pickupable|movable|stackable	stackable|pickupable
14706	13827	1	1	0	Arroz	pickupable|movable|stackable	stackable|pickupable
14707	13828	1	1	0	Leite	pickupable|movable|stackable	stackable|pickupable
14708	13829	1	1	0	Queijo	pickupable|movable|stackable	stackable|pickupable
14709	13830	1	1	0	Alface	pickupable|movable|stackable	stackable|pickupable
14710	13831	1	1	0		pickupable|movable|stackable	stackable|pickupable
14711	13832	1	1	0		pickupable|movable|stackable	stackable|pickupable
14712	13833	1	1	0	Carne de Porco	pickupable|movable|stackable	stackable|pickupable
14713	13834	1	1	0	Salm�o	pickupable|movable|stackable	stackable|pickupable
14714	13835	1	1	0	Tomate	pickupable|movable|stackable	stackable|pickupable
14715	13836	1	1	0	Cebola	pickupable|movable|stackable	stackable|pickupable
14716	13837	1	1	0	Pimenta	pickupable|movable|stackable	stackable|pickupable
14717	13838	1	1	0	P�o de hamburguer	pickupable|movable|stackable	stackable|pickupable
14718	13839	1	1	0	Soja	pickupable|movable|stackable	stackable|pickupable
14719	13840	1	1	0	Baguete	pickupable|movable|stackable	stackable|pickupable
14720	13841	1	1	0	Ovos	pickupable|movable|stackable	stackable|pickupable
14721	13842	1	1	0	Salcicha	pickupable|movable|stackable	stackable|pickupable
14722	13843	1	1	0		pickupable|movable|stackable	stackable|pickupable
14723	13844	1	1	0		pickupable|movable|stackable	stackable|pickupable
14724	13845	1	1	0		pickupable|movable|stackable	stackable|pickupable
14725	13846	1	1	0		pickupable|movable|stackable	stackable|pickupable
14726	13847	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14727	13848	1	1	0		pickupable|movable|stackable	stackable|pickupable
14728	13849	1	1	0		pickupable|movable|stackable	stackable|pickupable
14729	13850	1	1	0		pickupable|movable|stackable	stackable|pickupable
14730	13851	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14731	13852	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14732	13853	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14733	13854	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14734	13855	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14735	13856	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14736	13857	3	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14737	13858	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14738	13859	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14739	13860	3	1	0		usable|stackable	stackable|multi_use|unmoveable
14740	13861	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14741	13862	2	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14742	13863	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14743	13864	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14744	13865	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14745	13866	2	1	0	Macarr�o de soba	usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14746	13867	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14747	13868	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14748	13869	2	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14749	13870	1	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
14750	13871	3	1	0		usable|pickupable|movable|stackable	stackable|multi_use|pickupable
MAP_UNIQUE_IDS	8967
MAP_ITEMS	9729026
